Date,Tmax,Tmin,Rainfall,DayOfYear,Month,DayOfWeek,Rain_Flag,Weather
2011-01-01,36.9733881988549,25.38470160896732,1.7893848535467347,1,1,5,1,Drizzle
2011-01-02,35.71198997048731,26.371001119437608,1.7714401779971083,2,1,6,1,Drizzle
2011-01-03,37.29008715856882,28.106342976886,1.6842670493550962,3,1,0,1,Drizzle
2011-01-04,39.04459229958388,24.7147942108294,1.9527311841419697,4,1,1,1,Drizzle
2011-01-05,35.531678203893605,23.226347506302734,1.3716921410497376,5,1,2,1,Drizzle
2011-01-06,35.53079283781888,26.824602243348536,1.9116431737199344,6,1,3,1,Drizzle
2011-01-07,39.15420388499645,23.52614671893769,1.3302481145301432,7,1,4,1,Drizzle
2011-01-08,37.52498989289223,24.93885114194926,1.2724511305501205,8,1,5,1,Drizzle
2011-01-09,35.043146198195565,25.201035750779337,1.3571583375870575,9,1,6,1,Drizzle
2011-01-10,37.0568243257091,25.47574278702585,1.042789074492125,10,1,0,1,Drizzle
2011-01-11,35.03211593337461,26.60501260891117,1.8184830953830893,11,1,1,1,Drizzle
2011-01-12,35.012380483277326,24.535236569862903,0.8014281646650132,12,1,2,1,Mist
2011-01-13,36.41029927373694,25.13786843317327,0.9397931759019448,13,1,3,1,Mist
2011-01-14,32.08000022557846,25.513186971001755,1.441476540456994,14,1,4,1,Drizzle
2011-01-15,32.43456814957979,25.74347960650228,0.9343048261258398,15,1,5,1,Mist
2011-01-16,34.73533553682607,25.64867817877749,0.5738181456756759,16,1,6,1,Mist
2011-01-17,33.807426074201175,26.137170483242887,0.5785400792940298,17,1,0,1,Mist
2011-01-18,36.43243958650299,26.72852070938132,0.7995674321119011,18,1,1,1,Mist
2011-01-19,33.95644089940933,26.029693508792683,1.792379161822145,19,1,2,1,Drizzle
2011-01-20,32.91412262067079,26.097489301602785,1.0842224980108257,20,1,3,1,Drizzle
2011-01-21,38.6339753813527,23.018539740337,0.1821115944362756,21,1,4,0,Very Hot
2011-01-22,35.2127905930223,25.440381784545284,2.752768137199441,22,1,5,1,Light Rain
2011-01-23,35.75879384355856,26.05587752593031,0.0,23,1,6,0,Very Hot
2011-01-24,32.73137622400765,26.40002260935987,0.0,24,1,0,0,Hot
2011-01-25,34.4469959334771,24.23650680641853,0.4402478834726793,25,1,1,0,Hot
2011-01-26,35.710262339307405,24.253333099588403,0.0,26,1,2,0,Very Hot
2011-01-27,33.13686680278552,24.34604675741569,0.0,27,1,3,0,Hot
2011-01-28,36.13848249909266,25.975581373517937,0.0,28,1,4,0,Very Hot
2011-01-29,34.131852634189705,26.68401259220544,0.0,29,1,5,0,Hot
2011-01-30,34.6936131013817,24.482710259740376,0.0,30,1,6,0,Hot
2011-01-31,34.015301631121794,26.41504386934698,0.0,31,1,0,0,Hot
2011-02-01,38.86284641820645,25.1960227481789,0.0,32,2,1,0,Very Hot
2011-02-02,35.06874963749059,24.78059219513286,0.0,33,2,2,0,Very Hot
2011-02-03,32.915673644720854,24.604690507115905,0.1729644630673827,34,2,3,0,Hot
2011-02-04,36.60945327716434,25.99497146397381,0.0,35,2,4,0,Very Hot
2011-02-05,32.45388041214684,25.31526412364282,0.0,36,2,5,0,Hot
2011-02-06,35.24245585569768,28.19104820745317,0.8144857060126691,37,2,6,1,Mist
2011-02-07,30.83252705713456,23.44797014892989,0.0,38,2,0,0,Hot
2011-02-08,32.02063312230351,25.451056207115226,0.0,39,2,1,0,Hot
2011-02-09,34.993887066296594,23.826313701473573,0.0,40,2,2,0,Hot
2011-02-10,35.99830135779456,23.26102725797965,0.0,41,2,3,0,Very Hot
2011-02-11,34.78337594128941,24.49214685968417,0.0,42,2,4,0,Hot
2011-02-12,34.126705494790365,24.656630160807342,0.0,43,2,5,0,Hot
2011-02-13,33.67127333581846,28.768696841488065,0.0,44,2,6,0,Hot
2011-02-14,31.230056445960177,24.05475157516172,0.0,45,2,0,0,Hot
2011-02-15,32.659198338218616,22.5739526342786,0.1415903406618108,46,2,1,0,Hot
2011-02-16,33.087588309631194,24.61572217232712,0.0,47,2,2,0,Hot
2011-02-17,36.03130884389756,21.029985017702263,0.0743314087254407,48,2,3,0,Very Hot
2011-02-18,34.51074615662573,23.93852153033577,0.3041736154633927,49,2,4,0,Hot
2011-02-19,30.202148821222977,24.03379831580665,0.0,50,2,5,0,Hot
2011-02-20,34.27941922728056,25.1337764763615,0.0,51,2,6,0,Hot
2011-02-21,32.76244022291173,25.333256722762822,0.0,52,2,0,0,Hot
2011-02-22,32.078474848185024,23.04726876579628,0.0770863690432779,53,2,1,0,Hot
2011-02-23,34.553775778217314,23.505375218430004,0.0,54,2,2,0,Hot
2011-02-24,35.28894707783184,22.50968237707195,0.0,55,2,3,0,Very Hot
2011-02-25,34.9844842458678,21.89325297313324,0.0,56,2,4,0,Hot
2011-02-26,31.33694719936194,23.975609741136,0.0,57,2,5,0,Hot
2011-02-27,32.28892956627636,21.524769699690253,0.2677947059286083,58,2,6,0,Hot
2011-02-28,33.46039909796369,22.7365702137518,0.0,59,2,0,0,Hot
2011-03-01,34.638058693489214,21.78811696762229,0.0,60,3,1,0,Hot
2011-03-02,31.61632731774024,24.02679783483697,0.0,61,3,2,0,Hot
2011-03-03,32.089709619122324,25.824864449614704,0.0,62,3,3,0,Hot
2011-03-04,30.13338750471047,21.08985824270077,0.6478778578485749,63,3,4,1,Mist
2011-03-05,29.837386254214906,20.18133192731701,0.0,64,3,5,0,Sunny
2011-03-06,33.73733981593925,22.6912713917805,0.3274257138399712,65,3,6,0,Hot
2011-03-07,34.70603833733156,22.81903749006958,0.0,66,3,0,0,Hot
2011-03-08,31.72962476856184,23.0395404683417,0.0,67,3,1,0,Hot
2011-03-09,33.759649694422066,21.95732795619509,0.0,68,3,2,0,Hot
2011-03-10,32.35368286405223,22.240328621531727,0.7727344215856189,69,3,3,1,Mist
2011-03-11,30.21692245099081,23.00627898795164,0.516701038048633,70,3,4,1,Mist
2011-03-12,32.105665069682416,23.928658040033174,0.0,71,3,5,0,Hot
2011-03-13,34.33365647152934,19.347735181540752,0.0,72,3,6,0,Hot
2011-03-14,31.05967544806167,21.63852010984991,0.0,73,3,0,0,Hot
2011-03-15,34.13343114566815,22.423613874739686,0.0,74,3,1,0,Hot
2011-03-16,25.63657974096644,20.63628480748605,0.0,75,3,2,0,Sunny
2011-03-17,32.390948831405574,24.519755123509537,0.0,76,3,3,0,Hot
2011-03-18,30.791497794637785,20.8790677403699,0.4374602338088542,77,3,4,0,Hot
2011-03-19,29.88887319954392,21.67888249982203,0.0,78,3,5,0,Sunny
2011-03-20,30.53915677730452,22.4829778022269,0.0,79,3,6,0,Hot
2011-03-21,26.24854669323388,20.66965198250212,0.0,80,3,0,0,Sunny
2011-03-22,29.65173111924776,18.69389285473932,0.0,81,3,1,0,Sunny
2011-03-23,30.67207077981292,20.7275101553778,0.7011103909259009,82,3,2,1,Mist
2011-03-24,32.77982431622316,22.82098619260865,0.0,83,3,3,0,Hot
2011-03-25,28.653145878843624,20.677437730595933,0.0,84,3,4,0,Sunny
2011-03-26,27.937848507733666,19.81873354727556,0.378731738983318,85,3,5,0,Sunny
2011-03-27,28.41601029310208,22.382175380443886,0.0,86,3,6,0,Sunny
2011-03-28,31.11459664671668,20.402492343884195,0.0,87,3,0,0,Hot
2011-03-29,29.80518224627531,20.03813479839384,0.0,88,3,1,0,Sunny
2011-03-30,27.95170715270432,20.93204342666184,0.0,89,3,2,0,Sunny
2011-03-31,29.901010311197386,21.76825812590765,0.0,90,3,3,0,Sunny
2011-04-01,28.93161930245196,24.08879524022793,0.0,91,4,4,0,Sunny
2011-04-02,30.537524417047507,21.661018266673345,0.0,92,4,5,0,Hot
2011-04-03,27.05872061803538,22.063738713635576,0.0,93,4,6,0,Sunny
2011-04-04,27.669957736831723,19.468748122537296,0.0,94,4,0,0,Sunny
2011-04-05,27.40342455991445,18.592546447370925,0.0,95,4,1,0,Sunny
2011-04-06,25.122914204027783,20.1284578946331,0.0,96,4,2,0,Sunny
2011-04-07,28.504473089019623,20.099317647312724,0.0,97,4,3,0,Sunny
2011-04-08,28.296657521242786,18.224413771771207,0.0,98,4,4,0,Sunny
2011-04-09,27.64715513875689,19.48290796297436,0.0,99,4,5,0,Sunny
2011-04-10,27.03024279331316,20.24856834462312,0.0,100,4,6,0,Sunny
2011-04-11,24.531312744082683,20.094028052255577,0.0,101,4,0,0,Partly Cloudy
2011-04-12,26.383589787873024,20.21384808345903,0.0,102,4,1,0,Sunny
2011-04-13,26.40250729022648,19.798002521502177,0.0,103,4,2,0,Sunny
2011-04-14,25.34670793886441,18.50537074521027,0.0,104,4,3,0,Sunny
2011-04-15,26.49232797156484,18.39957863645453,0.3814358185752542,105,4,4,0,Sunny
2011-04-16,27.48698919700101,17.27679414136954,0.0,106,4,5,0,Sunny
2011-04-17,30.315638848418683,21.65744949097597,0.0,107,4,6,0,Hot
2011-04-18,26.757233895700136,18.905830335954462,0.0,108,4,0,0,Sunny
2011-04-19,26.788461996285896,18.45407326669598,0.0,109,4,1,0,Sunny
2011-04-20,25.990263968447906,17.304220937807475,0.0,110,4,2,0,Sunny
2011-04-21,22.167959362818788,17.167959362818788,0.7913356081130873,111,4,3,1,Mist
2011-04-22,25.819411048818488,16.900715111467502,0.0,112,4,4,0,Sunny
2011-04-23,25.8604666681992,17.77473248541289,0.1817351512533735,113,4,5,0,Sunny
2011-04-24,30.534727606811224,18.949525621717548,0.0,114,4,6,0,Hot
2011-04-25,25.09246731490621,19.134351919744333,2.043577395127228,115,4,0,1,Light Rain
2011-04-26,25.94997735503706,19.57971595208241,0.0,116,4,1,0,Sunny
2011-04-27,25.14793873278446,20.76356635219036,0.0,117,4,2,0,Sunny
2011-04-28,22.751310354393983,18.7213029839342,0.0,118,4,3,0,Partly Cloudy
2011-04-29,27.24647890706981,16.288537094677842,0.0,119,4,4,0,Sunny
2011-04-30,26.33776676251036,17.398312800313093,0.0,120,4,5,0,Sunny
2011-05-01,26.2899701938734,18.15728296862194,0.0,121,5,6,0,Sunny
2011-05-02,22.764112511260883,20.71036025685399,0.0,122,5,0,0,Partly Cloudy
2011-05-03,27.26446972799016,15.424508556646126,0.0,123,5,1,0,Sunny
2011-05-04,21.53222197575285,19.23901162877403,0.0,124,5,2,0,Partly Cloudy
2011-05-05,25.387767028923424,17.619708543245643,0.0,125,5,3,0,Sunny
2011-05-06,28.47421469077885,18.522058210255448,0.6412327490957617,126,5,4,1,Mist
2011-05-07,21.992639025237924,17.028606097895615,0.0,127,5,5,0,Partly Cloudy
2011-05-08,22.722717528759137,15.835070146385789,0.0,128,5,6,0,Partly Cloudy
2011-05-09,23.937445190816675,18.143008891550974,0.0,129,5,0,0,Partly Cloudy
